customer_zip_code_prefix,geolocation_lat,geolocation_lng
2301,-23.48834327699232,-46.61511256549717
2302,-23.486165301424297,-46.61410660283337
2303,-23.48192297668648,-46.61089104094289
2304,-23.480643713716844,-46.606001112686805
2305,-23.480318713083765,-46.60690160739265
2306,-23.46621393228113,-46.6034543346992
2307,-23.481197643906178,-46.60777485908012
2308,-23.47733705245543,-46.60461410713256
2309,-23.47590536081135,-46.604512052599645
2310,-23.473052978908186,-46.60034358604072
2311,-23.469019590758265,-46.60164030391252
2312,-23.46575325944889,-46.59957726061802
2313,-23.46379985680064,-46.60051068588781
2314,-23.461525152374612,-46.5991642157702
2315,-23.45973975797796,-46.60090959616827
2316,-23.4622595903399,-46.594256181372295
2317,-23.457938427145237,-46.59264167638062
2318,-23.451154239252077,-46.59089295767212
2319,-23.4500565858965,-46.59244298473654
2320,-23.450746610046743,-46.59817363780368
2321,-23.44749245462893,-46.58919046640291
2322,-23.445137635163608,-46.59323281626177
2323,-23.440297106858424,-46.581704744308766
2324,-23.44564326340232,-46.58667151803339
2325,-23.45435884762537,-46.5850697356283
2326,-23.44711129096593,-46.576656491927515
2327,-23.44397153973304,-46.57514975045754
2328,-23.521294655562947,-46.57631833599301
2329,-23.44798209276776,-46.57912990320224
2330,-23.486412294375963,-46.61721101212633
2331,-23.48295306136297,-46.6135298414532
2332,-23.48470069781425,-46.622192442466655
2333,-23.483501478643703,-46.622527827513466
2334,-23.483867305921667,-46.61969869664368
2335,-23.483408224764908,-46.61720715767613
2336,-23.48162735997463,-46.61653928504239
2337,-23.4791514111893,-46.6130076500087
2338,-23.475270792399986,-46.61808454065444
2339,-23.477801961148906,-46.61423834525944
2340,-23.461348505135884,-46.616022620950105
2341,-23.469038932726072,-46.61551929892087
2342,-23.47398008950318,-46.61060891652722
2343,-23.468727090210002,-46.60551413308614
2344,-23.469352858874245,-46.61006610643329
2345,-23.46862347727612,-46.6163016434943
2346,-23.472004872323875,-46.60844051151254
2347,-23.462485617260107,-46.60822697452102
2348,-23.46039493505109,-46.61244257271052
2349,-23.45918983596862,-46.60381299937963
2350,-23.45787959727913,-46.602366377287325
2351,-23.455448837609023,-46.59975294612414
2352,-23.454682134889474,-46.596429298313964
2353,-23.452748843181976,-46.605522022621045
2354,-23.454815992786635,-46.604084668330565
2355,-23.454607547319533,-46.61162124118531
2356,-23.45138647960067,-46.61164467024847
2357,-23.44686467583237,-46.61444099125743
2358,-23.44843717635322,-46.60868152553522
2359,-23.44565748972094,-46.61972975215229
2360,-23.436932665071616,-46.578029947038885
2361,-23.436532258377618,-46.58190737183128
2362,-23.434790639031952,-46.571647500000005
2363,-23.432468208475303,-46.57647459828163
2364,-23.434343169012326,-46.581090059760086
2365,-23.433704701885496,-46.58489999999999
2366,-23.439484341104503,-46.59159597890817
2367,-23.42071181820934,-46.59001220982171
2368,-23.40246070567879,-46.57923693188998
2370,-23.463158668330557,-46.62114362378098
